Close,Date
-240.94533,1997-07-25
-241.13284,1997-07-28
-240.76564,1997-07-29
-240.61722,1997-07-30
-240.58597,1997-07-31
-240.67972,1997-08-01
-240.56252,1997-08-04
-240.34378,1997-08-05
-240.32812,1997-08-06
-240.26564,1997-08-07
-240.75784,1997-08-08
-240.97658,1997-08-11
-241.25784,1997-08-12
-241.25002,1997-08-13
-241.2266,1997-08-14
-241.64845,1997-08-15
-241.52345,1997-08-18
-240.90628,1997-08-19
-240.68752,1997-08-20
-241.02345,1997-08-21
-241.10158,1997-08-22
-241.19534,1997-08-25
-241.38283,1997-08-26
-241.43753,1997-08-27
-241.75002,1997-08-28
-241.73439,1997-08-29
-241.10939,1997-09-02
-241.18752,1997-09-03
-240.9844,1997-09-04
-241.09377,1997-09-05
-240.84377,1997-09-08
-240.82033,1997-09-09
-241.3672,1997-09-10
-241.15627,1997-09-11
-241.01566,1997-09-12
-241.92189,1997-09-15
-241.21097,1997-09-16
-241.6094,1997-09-17
-241.7266,1997-09-18
-241.35939,1997-09-19
-241.59378,1997-09-22
-241.32034,1997-09-23
-241.70314,1997-09-24
-241.66408,1997-09-25
-241.58595,1997-09-26
-241.44533,1997-09-29
-241.71877,1997-09-30
-241.52345,1997-10-01
-241.6094,1997-10-02
-241.39064,1997-10-03
-241.3672,1997-10-06
-241.18752,1997-10-07
-240.88283,1997-10-08
-240.89066,1997-10-09
-241.19534,1997-10-10
-241.1641,1997-10-13
-241.17189,1997-10-14
-241.2891,1997-10-15
-241.51955,1997-10-16
-241.7266,1997-10-17
-241.67972,1997-10-20
-240.94533,1997-10-21
-241.29689,1997-10-22
-241.30472,1997-10-23
-241.33597,1997-10-24
-242.14845,1997-10-27
-241.58595,1997-10-28
-241.89845,1997-10-29
-242.1797,1997-10-30
-242.00783,1997-10-31
-241.4922,1997-11-03
-241.47658,1997-11-04
-241.56253,1997-11-05
-241.75002,1997-11-06
-241.81252,1997-11-07
-241.9844,1997-11-10
-241.9297,1997-11-11
-242.1094,1997-11-12
-241.81252,1997-11-13
-241.59378,1997-11-14
-241.39845,1997-11-17
-241.50783,1997-11-18
-241.37502,1997-11-19
-241.14847,1997-11-20
-241.02345,1997-11-21
-241.32034,1997-11-24
-240.88283,1997-11-25
-240.56252,1997-11-26
-240.57033,1997-11-28
-240.28127,1997-12-01
-240.47658,1997-12-02
-240.17189,1997-12-03
-240.43753,1997-12-04
-240.3672,1997-12-05
-239.9922,1997-12-08
-240.21877,1997-12-09
-240.47658,1997-12-10
-240.875,1997-12-11
-241.1641,1997-12-12
-241.24222,1997-12-15
-240.875,1997-12-16
-241.30472,1997-12-17
-241.89845,1997-12-18
-242.17189,1997-12-19
-242.38284,1997-12-22
-242.84377,1997-12-23
-243.39064,1997-12-24
-243.16408,1997-12-26
-242.46877,1997-12-29
-241.97658,1997-12-30
-242.10158,1997-12-31
-241.86722,1998-01-02
-241.96095,1998-01-05
-241.86722,1998-01-06
-242.06253,1998-01-07
-241.94533,1998-01-08
-242.38284,1998-01-09
-242.07033,1998-01-12
-241.74222,1998-01-13
-241.86722,1998-01-14
-241.71877,1998-01-15
-241.35158,1998-01-16
-241.03128,1998-01-20
-241.13284,1998-01-21
-240.9297,1998-01-22
-240.97658,1998-01-23
-240.53908,1998-01-26
-240.10939,1998-01-27
-239.63284,1998-01-28
-239.72658,1998-01-29
-239.60939,1998-01-30
-238.89845,1998-02-02
-238.77345,1998-02-03
-238.65627,1998-02-04
-238.82816,1998-02-05
-238.49222,1998-02-06
-238.60939,1998-02-09
-238.35158,1998-02-10
-238.39064,1998-02-11
-238.41406,1998-02-12
-238.57034,1998-02-13
-238.96097,1998-02-17
-238.9297,1998-02-18
-238.89845,1998-02-19
-238.8672,1998-02-20
-237.8516,1998-02-23
-237.72658,1998-02-24
-237.02345,1998-02-25
-236.88284,1998-02-26
-237.07033,1998-02-27
-237.42972,1998-03-02
-237.13283,1998-03-03
-237.6797,1998-03-04
-238.2422,1998-03-05
-237.57033,1998-03-06
-238.35939,1998-03-09
-237.88284,1998-03-10
-238.08595,1998-03-11
-237.78908,1998-03-12
-237.66408,1998-03-13
-237.75783,1998-03-16
-238.16408,1998-03-17
-237.82033,1998-03-18
-237.75783,1998-03-19
-237.8047,1998-03-20
-237.28908,1998-03-23
-237.02345,1998-03-24
-236.0547,1998-03-25
-236.19533,1998-03-26
-236.30472,1998-03-27
-236.27347,1998-03-30
-235.88283,1998-03-31
-235.6641,1998-04-01
-235.4297,1998-04-02
-235.00783,1998-04-03
-235.77347,1998-04-06
-236.44533,1998-04-07
-236.02345,1998-04-08
-236.00783,1998-04-09
-236.10158,1998-04-13
-236.14845,1998-04-14
-235.41408,1998-04-15
-235.33595,1998-04-16
-235.2266,1998-04-17
-234.6016,1998-04-20
-234.53908,1998-04-21
-233.5391,1998-04-22
-234.63284,1998-04-23
-235.2266,1998-04-24
-235.67969,1998-04-27
-235.7891,1998-04-28
-235.63283,1998-04-29
-235.7266,1998-04-30
-235.8516,1998-05-01
-236.24222,1998-05-04
-236.32034,1998-05-05
-236.66408,1998-05-06
-237.4141,1998-05-07
-236.82034,1998-05-08
-237.19533,1998-05-11
-236.83597,1998-05-12
-236.52345,1998-05-13
-236.02345,1998-05-14
-235.89845,1998-05-15
-236.7422,1998-05-18
-236.63283,1998-05-19
-236.82034,1998-05-20
-236.66408,1998-05-21
-236.86722,1998-05-22
-237.3516,1998-05-26
-236.75784,1998-05-27
-236.6797,1998-05-28
-237.0547,1998-05-29
-237.32031,1998-06-01
-236.88284,1998-06-02
-237.1797,1998-06-03
-236.7422,1998-06-04
-236.69533,1998-06-05
-236.83597,1998-06-08
-236.4922,1998-06-09
-236.75784,1998-06-10
-236.92972,1998-06-11
-236.82034,1998-06-12
-236.77344,1998-06-15
-235.7891,1998-06-16
-235.4922,1998-06-17
-235.46095,1998-06-18
-234.58594,1998-06-19
-234.3047,1998-06-22
-233.07034,1998-06-23
-232.02347,1998-06-24
-232.8672,1998-06-25
-232.14845,1998-06-26
-231.39847,1998-06-29
-231.16408,1998-06-30
-230.9141,1998-07-01
-231.44534,1998-07-02
-231.30469,1998-07-06
-231.27345,1998-07-07
-230.7891,1998-07-08
-230.50783,1998-07-09
-229.96095,1998-07-10
-228.8672,1998-07-13
-229.13284,1998-07-14
-228.91408,1998-07-15
-228.91408,1998-07-16
-228.77347,1998-07-17
-229.00783,1998-07-20
-230.0547,1998-07-21
-229.07033,1998-07-22
-230.00783,1998-07-23
-229.80472,1998-07-24
-229.07033,1998-07-27
-230.19534,1998-07-28
-230.58595,1998-07-29
-229.89845,1998-07-30
-230.77347,1998-07-31
-231.14845,1998-08-03
-232.13283,1998-08-04
-232.1797,1998-08-05
-231.53908,1998-08-06
-231.78908,1998-08-07
-232.14845,1998-08-10
-232.39844,1998-08-11
-231.99222,1998-08-12
-232.27345,1998-08-13
-232.19533,1998-08-14
-231.42972,1998-08-17
-230.44533,1998-08-18
-230.6172,1998-08-19
-230.1172,1998-08-20
-230.60158,1998-08-21
-230.66408,1998-08-24
-230.0547,1998-08-25
-230.1172,1998-08-26
-230.94534,1998-08-27
-231.94534,1998-08-28
-234.27345,1998-08-31
-232.94531,1998-09-01
-233.11722,1998-09-02
-233.44533,1998-09-03
-234.1016,1998-09-04
-232.76566,1998-09-08
-232.69533,1998-09-09
-233.07034,1998-09-10
-232.19533,1998-09-11
-231.75783,1998-09-14
-231.1797,1998-09-15
-231.21095,1998-09-16
-232.02347,1998-09-17
-231.9141,1998-09-18
-231.2891,1998-09-21
-230.96097,1998-09-22
-229.8516,1998-09-23
-230.72658,1998-09-24
-229.9922,1998-09-25
-230.4297,1998-09-28
-230.03908,1998-09-29
