Date,Open,High,Low,Close,Adj Close,Volume
21/9/2012,45.931,46.179001,45.685001,45.952,42.898441,12850000
24/9/2012,45.75,45.75,45.307999,45.528999,42.503548,7608000
25/9/2012,45.759998,45.772999,45.129002,45.152,42.151588,5510000
26/9/2012,45.132,45.201,44.577,44.584,41.621342,4991000
27/9/2012,44.759998,45.216999,44.698002,45.216999,42.212292,4342000
28/9/2012,45.112999,45.252998,44.863998,45.147999,42.147865,5548000
1/10/2012,45.318001,46.013,45.25,45.688999,42.652924,6957000
2/10/2012,45.695999,45.880001,45.401001,45.764999,42.723866,3347000
3/10/2012,45.900002,47.467999,45.766998,47.375999,44.22781,11976000
4/10/2012,47.275002,47.5,47.140999,47.487999,44.332363,6340000
5/10/2012,47.799999,48.299999,47.286999,47.527,44.396824,9005000
8/10/2012,47.424,47.548,46.981998,47.193001,44.08482,5542000
9/10/2012,47.226002,47.299999,46.126999,46.487999,43.426254,8103000
10/10/2012,46.499001,46.516998,46.048,46.209,43.165638,5058000
11/10/2012,46.717999,47.582001,46.501999,47.257,44.144619,12626000
12/10/2012,47.27,47.604,46.946999,47.335999,44.218399,8243000
15/10/2012,47.234001,47.695,47.174999,47.582001,44.448196,8995000
16/10/2012,47.928001,48.151001,47.609001,47.901001,44.746204,4557000
17/10/2012,48.598999,48.608002,47.916,48.299999,45.118908,7248000
18/10/2012,48.247002,48.564999,47.437,47.583,44.449139,8788000
19/10/2012,47.463001,47.681,46.790001,47.006001,43.91013,10070000
22/10/2012,47.298,47.298,46.200001,46.693001,43.61776,7754000
23/10/2012,46.255001,46.474998,45.799999,45.986,42.957321,7294000
24/10/2012,46.474998,46.501999,45.299999,45.453999,42.460358,7083000
25/10/2012,45.650002,45.858002,44.737999,44.936001,41.976486,8938000
26/10/2012,44.936001,45.77,44.820999,45.298,42.314632,6852000
31/10/2012,45.251999,46.5,45.118,46.092999,43.057278,11930000
1/11/2012,46.341,47.499001,46.207001,46.868999,43.782158,9364000
2/11/2012,47.153999,47.699001,46.868,46.945,43.853165,9514000
5/11/2012,46.726002,47.096001,46.467999,46.564999,43.49818,6169000
6/11/2012,46.855999,47.289001,46.719002,47.178001,44.07082,4120000
7/11/2012,47,47.118999,46.151001,46.470001,43.409443,7637000
8/11/2012,46.431999,46.820999,46.18,46.18,43.13855,6203000
9/11/2012,45.852001,46.869999,45.848,46.466,43.405708,6420000
12/11/2012,46.568001,47.097,46.306999,47,43.904541,7025000
13/11/2012,46.709999,47.692001,46.473999,47.122002,44.018497,4959000
14/11/2012,47.266998,47.398998,46.233002,46.331001,43.279591,6080000
15/11/2012,46.292999,46.292999,45.356998,45.716,42.705097,7071000
16/11/2012,45.846001,47.046001,45.601002,46.459,43.399162,9029000
19/11/2012,46.939999,47.868,46.839001,47.868,44.715359,6813000
20/11/2012,47.904999,48.257999,47.222,47.757,44.611671,6804000
21/11/2012,47.841999,48.07,47.755001,47.943001,44.785431,2927000
23/11/2012,48.084999,48.200001,47.799999,48.124001,44.954514,2391000
26/11/2012,48.018002,48.278,47.828999,48.002998,44.841484,4976000
27/11/2012,48.008999,48.368,47.790001,47.848999,44.697628,4877000
28/11/2012,47.573002,48.158001,47.477001,48.151001,44.979736,6584000
29/11/2012,48.419998,49.075001,48.324001,48.620998,45.418777,9080000
30/11/2012,48.577999,48.986,48.383999,48.868,45.649513,9826000
3/12/2012,49.099998,49.451,48.556999,48.665001,45.459885,8497000
4/12/2012,48.763,48.799999,48.057999,48.341999,45.15815,6430000
5/12/2012,48.299999,48.400002,47.439999,47.799999,44.651844,6645000
6/12/2012,47.575001,48.088001,47.386002,48.088001,44.920887,5977000
7/12/2012,48.165001,48.284,47.601002,47.609001,44.473434,6389000
10/12/2012,48.035999,48.046001,47.548,47.959999,44.801315,5770000
11/12/2012,48,48.5,47.915001,48.152,44.980656,8577000
12/12/2012,48.200001,48.737999,48.02,48.344002,45.160019,9512000
13/12/2012,48.591,48.759998,48.251999,48.443001,45.252491,5680000
14/12/2012,48.122002,48.48,48.027,48.23,45.05352,5346000
17/12/2012,48.341999,48.990002,48.108002,48.931999,45.709282,7181000
18/12/2012,49,49.498001,48.780998,49.287998,46.041843,6621000
19/12/2012,49.48,49.488998,48.891998,48.938999,45.715824,5629000
20/12/2012,49.223,49.862,48.946999,49.853001,46.569649,9358000
21/12/2012,49.299999,49.688999,48.827,49.356998,46.106312,8320000
24/12/2012,49.285999,49.625,49.248001,49.501999,46.241745,2695000
26/12/2012,49.452999,49.594002,48.5,48.619999,45.417831,5749000
27/12/2012,48.601002,49.285999,48.112,48.786999,45.573822,6233000
28/12/2012,48.5,48.865002,48.285,48.307999,45.126389,4686000
31/12/2012,48.337002,49.192001,48.290001,49.127998,45.892384,6562000
2/1/2013,50.630001,51.027,50.099998,51.027,47.666306,12278000
3/1/2013,51.046001,51.546001,50.814999,51.099998,47.734509,9452000
4/1/2013,51.115002,51.220001,50.700001,51.098,47.732632,11475000
7/1/2013,51.25,52.130001,51.166,51.952999,48.559822,11398000
8/1/2013,52.002998,52.105,51.493999,51.782001,48.400002,6983000
9/1/2013,52.52,53.238998,52.266998,53.238998,49.761841,11461000
10/1/2013,53.247002,53.247002,52.429001,52.764999,49.318798,12564000
11/1/2013,52.750999,52.979,52.551998,52.868,49.415081,6424000
14/1/2013,52.955002,52.998001,52.123001,52.351002,48.931847,9911000
15/1/2013,52.223999,52.34,51.919998,52.279999,48.865482,5858000
16/1/2013,51.643002,52.255001,51.502998,52.129002,48.724335,6190000
17/1/2013,52.466999,52.667,52.130001,52.334999,48.916885,5250000
18/1/2013,51.956001,52.150002,51.341999,52.099998,48.697227,10769000
22/1/2013,52.479,52.479,51.463001,51.976002,48.581333,7462000
23/1/2013,51.960999,52.245998,51.512001,51.756001,48.37569,4991000
24/1/2013,51.792999,52.57,51.772999,52.226002,48.815006,5869000
25/1/2013,52.279999,52.279999,51.723999,51.942001,48.549557,7157000
28/1/2013,52.094002,52.094002,51.346001,51.411999,48.054169,8002000
29/1/2013,51.411999,52.075001,51.404999,51.848,48.461681,8833000
30/1/2013,51.664001,52.16,51.389999,51.599998,48.229893,11601000
31/1/2013,53.200001,53.535,51.299999,51.84,48.454224,20412000
1/2/2013,52.081001,52.254002,51.368999,51.870998,48.483196,9949000
4/2/2013,51.629002,51.799999,51.209,51.422001,48.063507,6152000
5/2/2013,52.036999,52.202,51.68,52.069,48.668266,7983000
6/2/2013,52.014999,52.387001,51.810001,52.355,48.935585,6016000
7/2/2013,52.189999,52.330002,51.625,51.955002,48.561707,6517000
8/2/2013,51.846001,52.446999,51.831001,52.446999,49.021564,5214000
11/2/2013,52.562,52.616001,51.923,52.084999,48.68322,5616000
12/2/2013,52.085999,52.213001,51.851002,51.964001,48.57011,3379000
13/2/2013,52.125,52.189999,51.618,51.921001,48.529915,4096000
14/2/2013,51.615002,52.326,51.615002,52.216,48.805653,6656000
15/2/2013,51.631001,52.493999,51.631001,52.313,48.896332,7032000
19/2/2013,52.5,52.648998,52.096001,52.285999,48.871078,4234000
20/2/2013,52.200001,52.421001,51.291,51.291,47.941063,5377000
21/2/2013,51.400002,52.092999,51.056,51.959,48.565437,6814000
22/2/2013,52.291,52.443001,51.729,52.382999,48.961754,6591000
25/2/2013,52.534,52.599998,51.09,51.09,47.753189,8672000
26/2/2013,51.354,51.577,50.736,50.970001,47.641048,7955000
27/2/2013,51.096001,51.617001,50.797001,51.519001,48.154186,6994000
28/2/2013,51.519001,52.137001,51.339001,51.782001,48.400002,6148000
1/3/2013,51.5,51.951,51.328999,51.830002,48.44487,4142000
4/3/2013,51.598,52.241001,51.576,52.140999,48.735558,3486000
5/3/2013,52.252998,53.077999,52.185001,52.709999,49.267395,5895000
6/3/2013,52.551998,53.123001,52.334999,52.757999,49.312252,5179000
7/3/2013,52.771999,53,52.57,52.667,49.227203,6685000
8/3/2013,53.005001,53.032001,52.445999,52.923,49.466476,5068000
11/3/2013,52.958,53.247002,52.841,53.089001,49.621639,4091000
12/3/2013,52.987,53.098999,52.223,52.316002,48.899124,4798000
13/3/2013,52.233002,52.837002,52.112,52.748001,49.302906,4715000
14/3/2013,52.855,53.125,52.671001,52.717999,49.274864,5567000
15/3/2013,52.598999,52.882999,51.821999,51.937,48.544891,11598000
18/3/2013,51.530998,51.966,51.473,51.500999,48.137348,5626000
19/3/2013,51.622002,51.784,50.816002,51.16,47.81863,6309000
20/3/2013,51.599998,51.869999,51.435001,51.862,48.474777,4552000
21/3/2013,51.644001,51.771999,51.321999,51.401001,48.043888,5505000
22/3/2013,51.582001,51.877998,51.553001,51.75,48.370087,5052000
25/3/2013,52.025002,52.396,51.876999,51.999001,48.602825,5420000
26/3/2013,52.299999,53.719002,52.222,53.547001,50.049728,9106000
27/3/2013,53.221001,54.073002,53.037998,53.803001,50.289021,6483000
28/3/2013,53.84,54.195999,53.689999,54.112999,50.578766,6689000
1/4/2013,54.243999,54.689999,53.599998,53.723,50.214226,5501000
2/4/2013,54.07,54.398998,53.902,54.058998,50.528286,3696000
3/4/2013,54.084999,54.296001,53.039001,53.325001,49.842236,5330000
4/4/2013,53.275002,53.563999,53.014,53.422001,49.932896,4432000
